#,Giocatore,Pos,Squadra,PTS,CR,Plus,Presenze,Titolare,Minuti,Goal,Tiri,Tiri Porta,Goal Rig,Dribb Riusciti,Ass,Pass Riusciti,Pass Chiave,Falli,Falli Subiti,Gialli,Rossi,Pall Rubati,Tackle,Clean Sheet,Parate
58,Amir Rrahmani,Dif,NAP,359.90,16.60,-0.90,21,21,1817,2,18,6,0,5,0,1446,7,14,7,3,0,31,20,4,0
60,R. Calafiori,Dif,BOL,353.20,12.30,2.40,23,19,1733,0,11,3,0,8,2,1152,10,26,16,4,0,60,28,7,0
63,F. Gatti,Dif,JUV,346.70,13.60,0.10,23,21,1875,3,21,5,0,5,0,799,6,26,14,6,0,26,22,9,0
65,F. Tomori,Dif,MIL,343.10,17.70,0.20,17,16,1395,3,9,5,0,2,0,1040,1,16,6,2,1,39,28,6,0
67,M. Darmian,Dif,INT,337.90,14.10,-0.90,23,19,1722,1,6,4,0,2,1,805,16,18,7,2,0,30,36,12,0
68,N. Perez,Dif,UDI,333.90,11.30,0.90,27,27,2430,0,16,2,0,6,0,939,6,26,11,4,0,72,57,7,0
70,S. Kolasinac,Dif,ATA,331.50,13.50,-0.60,25,22,1875,1,11,4,0,4,0,884,6,23,16,3,0,43,35,8,0
73,D. Dumfries,Dif,INT,328.30,14.70,-0.80,21,15,1298,3,17,4,0,11,3,373,23,19,17,1,0,21,19,9,0
75,Danilo,Dif,JUV,327.90,17.00,-0.50,18,17,1550,1,12,1,0,6,1,941,16,16,4,5,0,48,38,9,0
76,S. Luperto,Dif,EMP,326.70,11.00,1.90,27,27,2430,1,16,3,0,4,1,1102,9,19,8,2,0,36,30,7,0
77,R. Rodriguez,Dif,TOR,325.40,11.00,1.00,25,24,1979,0,5,0,0,6,1,976,10,17,7,3,0,41,34,11,0
83,L. Caldirola,Dif,MON,314.30,10.70,1.60,23,22,1945,1,9,2,0,1,1,1146,5,21,17,3,1,39,23,6,0
87,S. de Vrij,Dif,INT,311.20,13.50,0.50,20,13,1216,1,9,3,0,2,0,632,1,7,1,0,0,29,15,9,0
88,A. Cambiaso,Dif,JUV,311.20,11.00,1.50,23,17,1533,1,19,6,0,18,3,593,17,22,12,5,0,27,28,6,0
89,A. Marusic,Dif,LAZ,311.10,12.00,-1.00,27,27,2249,0,3,2,0,11,0,987,5,14,8,3,1,45,32,9,0
90,N. Milenkovic,Dif,FIO,310.40,13.30,-1.00,25,20,1891,0,8,3,0,2,0,1022,5,23,20,3,1,34,36,5,0
91,M. Ruggeri,Dif,ATA,308.90,8.90,2.90,24,23,1932,0,9,4,0,14,3,822,18,16,8,3,0,29,19,9,0
96,S. Posch,Dif,BOL,306.50,13.80,-0.40,22,20,1647,0,8,3,0,6,2,1051,15,26,5,7,0,46,57,7,0
98,D. Calabria,Dif,MIL,302.70,13.40,-1.20,23,20,1652,0,15,5,0,6,3,843,8,15,15,3,1,42,48,5,0
101,J. Vasquez,Dif,GEN,296.60,9.10,2.60,26,21,1878,0,22,7,0,7,0,591,8,23,27,4,0,60,42,5,0
103,V. Kristiansen,Dif,BOL,295.80,11.00,1.10,23,18,1594,0,4,1,0,10,3,821,19,23,4,3,0,28,30,7,0
105,C. Biraghi,Dif,FIO,295.10,13.20,-0.70,22,21,1821,1,12,4,0,4,3,875,30,38,13,6,0,37,38,6,0
107,Pablo Mari,Dif,MON,292.50,12.20,-0.30,23,19,1643,0,6,1,0,2,0,1023,3,22,6,7,0,37,31,7,0
109,M. Kayode,Dif,FIO,289.00,9.00,3.10,18,15,1438,1,5,2,0,14,1,590,11,11,7,2,0,38,39,7,0
111,Diego Llorente,Dif,ROM,288.50,10.90,1.30,22,20,1633,0,2,1,0,1,1,1087,2,17,16,4,0,33,27,3,0
112,Carlos Augusto,Dif,INT,288.10,13.50,-2.50,26,7,1045,0,15,4,0,10,3,398,12,11,4,1,0,22,18,6,0
119,A. Romagnoli,Dif,LAZ,281.90,14.70,-1.60,20,18,1689,0,5,3,0,0,0,1057,4,23,10,5,0,29,19,7,0
121,M. Pongracic,Dif,LEC,280.90,9.80,0.80,25,25,2230,0,10,2,0,11,0,1077,7,43,14,6,1,56,32,2,0
126,V. Gendrey,Dif,LEC,275.20,9.70,0.20,26,25,2208,1,11,3,0,8,3,584,19,18,28,5,0,51,39,2,0
129,D. Zappacosta,Dif,ATA,272.70,12.30,-1.20,23,16,1334,2,33,9,0,10,1,501,13,17,14,4,0,17,17,7,0
136,M. Bani,Dif,GEN,263.80,9.90,1.40,21,21,1775,2,8,4,0,1,0,745,2,14,23,8,0,24,19,4,0
140,A. Florenzi,Dif,MIL,260.00,8.40,1.60,24,13,1197,0,19,7,0,1,2,636,25,10,7,5,0,31,35,5,0
142,B. Pavard,Dif,INT,258.30,16.40,-1.10,15,13,1019,0,8,5,0,1,1,667,7,9,7,3,0,33,24,6,0
143,D. D'Ambrosio,Dif,MON,257.10,11.20,0.60,19,15,1361,0,12,3,0,5,0,826,4,15,13,3,1,41,51,5,0
144,J. Lucumi,Dif,BOL,256.30,10.80,0.80,18,12,1224,0,4,1,0,3,0,933,3,5,6,0,0,27,35,5,0
146,S. Romagnoli,Dif,FRO,256.10,8.30,0.90,23,20,1833,1,6,1,0,0,1,931,2,15,4,5,0,33,23,2,0
149,E. Ndicka,Dif,ROM,253.30,14.40,-1.00,17,17,1513,0,4,1,0,1,1,995,3,17,11,3,0,22,25,5,0
152,P. Dawidowicz,Dif,VER,248.00,9.30,0.50,21,19,1631,0,8,1,0,4,0,798,2,27,7,5,0,42,39,5,0
154,I. Monterisi,Dif,FRO,247.20,8.00,1.40,21,16,1446,2,5,3,0,5,2,757,5,10,17,1,0,20,23,2,0
159,Lazaro,Dif,TOR,241.20,9.30,0.70,24,19,1713,0,15,4,0,17,2,570,31,11,8,3,0,16,12,7,0
163,D. Bradaric,Dif,SAL,239.20,9.50,0.00,26,22,2046,0,15,3,0,14,3,734,24,11,18,5,0,46,29,2,0
165,R. Kristensen,Dif,ROM,238.50,9.70,-0.90,25,16,1480,1,6,2,0,7,1,571,10,14,6,5,0,18,29,3,0
167,S. Kjaer,Dif,MIL,236.80,11.20,0.50,16,13,1079,0,4,0,0,0,1,666,3,8,2,1,0,26,20,7,0
174,G. Magnani,Dif,VER,229.90,8.60,0.60,23,20,1764,0,10,1,0,6,0,614,5,21,17,4,0,42,19,4,0
178,M. Erlic,Dif,SAS,226.20,9.20,-0.30,23,22,1908,1,7,2,0,3,0,755,0,22,21,4,0,37,30,1,0
180,L. Ostigard,Dif,NAP,224.80,8.80,0.80,17,12,1054,1,4,1,0,1,0,737,3,8,8,3,0,21,18,4,0
183,C. Okoli,Dif,FRO,223.00,8.50,0.50,23,21,1945,0,6,1,0,0,0,1038,3,15,15,6,0,39,33,1,0
185,F. Baschirotto,Dif,LEC,221.50,10.60,-2.50,26,26,2305,0,10,3,0,0,1,1044,2,20,4,1,1,26,15,1,0
186,H. Kamara,Dif,UDI,221.30,7.90,-0.40,24,16,1347,1,18,7,0,21,0,309,15,14,4,3,0,36,25,4,0
187,A. Carboni,Dif,MON,220.90,8.60,1.10,17,12,1186,1,15,3,0,1,0,713,6,10,5,1,0,28,32,4,0
188,M. Lazzari,Dif,LAZ,219.70,11.30,-0.80,18,15,1305,0,5,1,0,8,2,564,7,7,12,2,1,25,21,6,0
191,G. Zappa,Dif,CAG,215.30,7.50,0.10,27,18,1895,1,16,4,0,6,1,618,19,17,11,2,0,38,34,3,0
195,L. Cacace,Dif,EMP,210.10,8.70,0.20,21,17,1587,0,10,1,0,20,0,556,14,23,16,5,0,32,33,5,0
197,A. Ismajli,Dif,EMP,208.10,8.70,0.20,21,18,1644,0,3,0,0,0,0,725,4,13,8,1,0,28,20,4,0
198,L. Ranieri,Dif,FIO,207.20,8.20,1.10,18,15,1347,1,7,2,0,2,0,718,3,25,8,11,0,26,5,5,0
199,F. Ebosele,Dif,UDI,206.80,7.90,-0.30,26,20,1595,0,14,5,0,42,0,203,15,27,41,4,1,26,31,4,0
201,J. Jesus,Dif,NAP,205.90,10.50,0.50,15,14,1307,0,3,0,0,0,0,989,3,19,6,5,0,21,24,3,0
205,M. Thiaw,Dif,MIL,202.40,13.80,-1.40,14,13,1116,0,3,0,0,8,1,756,4,18,6,3,1,25,18,4,0
206,S. Birindelli,Dif,MON,202.30,7.30,0.30,24,11,1151,0,16,8,0,6,1,408,15,16,19,5,0,25,18,4,0
207,L. Spinazzola,Dif,ROM,202.00,10.80,-1.30,18,13,1100,1,8,3,0,14,2,426,24,8,4,0,0,7,11,4,0
208,Joao Ferreira,Dif,UDI,201.40,6.10,1.30,24,14,1386,0,3,0,0,14,1,415,10,26,9,9,0,54,41,2,0
209,D. Rugani,Dif,JUV,200.70,9.10,1.10,13,9,842,2,6,2,0,0,0,443,1,10,3,2,0,10,6,5,0
210,G. Kyriakopoulos,Dif,MON,200.40,9.30,-0.90,20,15,1343,0,17,2,0,14,3,590,18,13,11,3,0,19,15,4,0
211,K. De Winter,Dif,GEN,200.40,8.00,1.00,19,16,1478,0,8,2,0,2,1,596,5,19,9,6,1,32,22,3,0
213,S. Sabelli,Dif,GEN,198.00,8.60,-0.40,23,22,1878,0,6,2,0,3,0,331,16,27,26,4,0,36,37,6,0
214,Mario Gila,Dif,LAZ,196.10,7.20,1.30,14,14,1201,0,3,1,0,4,0,680,3,13,19,2,1,20,19,5,0
216,A. Gallo,Dif,LEC,195.50,7.50,-0.50,24,19,1583,0,8,1,0,9,2,489,29,5,12,2,0,32,27,2,0
217,S. Walukiewicz,Dif,EMP,193.80,8.40,0.60,18,16,1414,0,4,2,0,5,0,651,3,14,5,5,0,31,27,5,0
222,E. Holm,Dif,ATA,191.30,11.80,-1.70,17,8,696,1,17,6,0,14,1,175,3,11,15,5,0,21,19,3,0
226,Patric,Dif,LAZ,188.50,7.80,1.20,13,13,1025,1,2,1,0,0,0,679,1,6,4,3,0,9,9,5,0
233,F. Terracciano,Dif,MIL,182.60,7.60,-0.50,19,14,1296,0,8,3,0,12,1,395,18,15,32,2,0,38,27,2,0
236,M. Olivera,Dif,NAP,182.20,11.30,-0.70,14,10,876,0,5,0,0,7,1,467,11,7,7,3,0,29,31,3,0
237,R. Karsdorp,Dif,ROM,181.90,9.80,-0.30,14,12,987,0,6,1,0,2,2,361,9,8,9,1,0,23,21,4,0
244,T. Kristensen,Dif,UDI,176.40,8.80,-0.30,17,15,1332,0,5,2,0,7,0,424,1,15,3,2,1,39,22,4,0
246,P. Mazzocchi,Dif,NAP,175.30,9.50,-2.50,24,19,1555,0,12,2,0,22,2,482,15,29,12,4,1,25,29,1,0
247,T. Augello,Dif,CAG,174.50,8.20,-1.60,22,18,1588,0,7,2,0,10,1,501,19,10,12,2,0,21,22,2,0
250,P. Dorgu,Dif,LEC,173.10,5.80,0.70,21,8,850,1,6,4,0,12,0,348,12,12,28,5,0,24,26,0,0
251,A. Oyono,Dif,FRO,172.90,9.10,-1.00,16,14,1197,0,4,1,0,12,1,397,10,13,11,4,0,35,37,2,0
257,J. Zemura,Dif,UDI,169.90,7.00,-0.10,20,10,937,1,5,3,0,12,0,183,7,14,13,1,0,29,23,3,0
258,G. Ferrari,Dif,SAS,169.50,8.30,-0.70,20,14,1278,1,10,5,0,2,0,680,6,17,16,3,0,21,12,1,0
260,J. Bijol,Dif,UDI,166.80,10.10,-1.00,13,13,1170,0,6,2,0,0,0,425,2,18,5,1,0,30,25,4,0
264,J. Toljan,Dif,SAS,164.40,8.50,-1.10,18,18,1615,0,8,3,0,6,5,476,17,6,6,1,0,16,10,1,0
268,N. Gyomber,Dif,SAL,160.70,7.10,-0.50,19,17,1530,0,4,0,0,3,0,531,5,28,15,9,0,40,35,1,0
269,Mario Rui,Dif,NAP,160.60,13.00,-3.00,16,11,921,0,5,2,0,3,1,575,21,14,19,5,0,22,21,2,0
270,F. Parisi,Dif,FIO,160.20,11.90,-2.70,15,11,999,0,10,2,0,16,1,502,11,9,30,3,0,21,20,1,0
274,M. Pedersen,Dif,SAS,157.10,8.50,-2.00,24,14,1394,0,3,0,0,10,2,365,9,10,8,4,0,27,30,1,0
276,M. Vojvoda,Dif,TOR,156.10,7.80,-1.30,18,8,784,0,6,2,0,4,1,361,6,8,2,1,0,12,5,6,0
277,L. De Silvestri,Dif,BOL,155.20,8.20,0.10,12,6,569,2,4,2,0,0,0,266,0,2,5,0,0,11,8,2,0
278,Y. Bisseck,Dif,INT,155.00,11.40,-0.60,10,5,476,1,6,2,0,2,0,354,1,2,9,0,0,3,7,4,0
279,C. Lykogiannis,Dif,BOL,154.40,6.40,-0.20,18,8,704,1,10,3,0,2,1,248,7,8,0,1,0,10,9,1,0
280,L. Pirola,Dif,SAL,154.10,8.90,-1.20,17,15,1208,1,11,3,0,0,0,515,0,18,10,2,0,23,23,0,0
281,M. Lovato,Dif,TOR,154.00,7.50,-0.60,18,15,1238,0,2,0,0,0,0,461,3,14,5,4,0,50,36,1,0
283,M. Gabbia,Dif,MIL,150.50,8.80,2.10,9,8,717,1,5,2,0,1,0,447,2,17,5,3,0,21,17,2,0
284,A. Izzo,Dif,MON,150.30,10.20,-0.90,12,9,729,0,4,3,0,0,0,525,4,17,12,5,0,22,14,4,0
296,D. Coppola,Dif,VER,141.20,5.60,0.50,14,9,825,1,6,1,0,0,0,291,1,16,3,7,0,29,26,2,0
297,Natan,Dif,NAP,140.20,13.00,-3.00,13,10,910,0,6,1,0,0,0,528,4,13,6,1,1,18,15,2,0
298,P. Schuurs,Dif,TOR,139.90,13.60,-1.50,9,9,771,1,7,1,0,2,0,352,1,8,1,2,0,23,21,4,0
301,J. Doig,Dif,SAS,138.70,8.80,-1.90,19,18,1433,0,10,2,0,11,0,313,10,13,11,4,0,27,28,1,0
304,L. Pellegrini,Dif,LAZ,133.70,7.60,-1.00,15,5,589,1,6,1,0,12,0,253,1,15,9,4,1,17,16,2,0
307,B. Bereszynski,Dif,EMP,131.70,7.20,-0.40,13,12,872,0,1,1,0,5,1,297,6,9,12,2,0,20,21,2,0
311,I. Hien,Dif,ATA,130.30,9.00,-1.60,16,9,956,0,4,1,0,3,0,365,0,11,3,2,1,24,22,2,0
312,R. Marchizza,Dif,FRO,129.80,6.50,-0.60,13,13,1149,0,8,3,0,3,4,329,11,6,3,1,0,13,7,1,0
314,Ruan Tressoldi,Dif,SAS,128.30,8.00,-2.10,21,13,1214,0,6,2,0,0,0,472,4,19,9,3,1,30,20,0,0
319,K. Djidji,Dif,TOR,126.50,8.90,-0.90,12,7,683,0,2,0,0,3,0,342,0,11,1,2,0,18,11,4,0
320,Paulo Azzi,Dif,CAG,126.00,5.70,-0.80,18,9,844,0,18,1,0,9,0,229,8,4,3,1,0,26,18,2,0
321,T. Ebuehi,Dif,EMP,124.30,8.30,-1.80,14,11,1073,0,5,1,0,3,1,318,11,7,9,0,0,16,14,4,0
328,A. Sandro,Dif,JUV,120.30,8.80,-1.20,12,6,532,0,3,0,0,3,0,348,4,14,10,1,0,13,8,1,0
329,Pedro Pereira,Dif,MON,119.50,5.10,0.00,17,8,661,0,3,0,0,4,2,281,8,8,3,3,0,11,12,1,0
331,C. Kabasele,Dif,UDI,117.80,6.90,-0.70,11,10,859,1,6,2,0,0,1,248,2,15,9,5,0,18,8,2,0
332,D. Faraoni,Dif,FIO,116.50,8.70,-2.40,15,10,892,0,10,2,0,4,2,293,10,13,14,5,0,27,22,1,0
334,N. Casale,Dif,LAZ,113.90,12.00,-3.10,12,9,944,0,4,1,0,1,0,583,1,11,3,1,0,7,8,1,0
337,F. Fazio,Dif,SAL,111.60,5.40,-0.20,11,9,832,1,4,2,0,1,0,257,2,5,5,3,1,16,11,1,0
338,E. Hysaj,Dif,LAZ,110.90,7.20,-1.60,14,7,709,0,1,0,0,1,0,397,7,9,4,2,0,19,18,0,0
339,D. Huijsen,Dif,ROM,110.40,5.70,-0.20,10,3,356,2,6,2,0,1,0,260,1,7,2,3,0,3,4,0,0
343,P. Lirola,Dif,FRO,105.70,7.60,-2.00,14,9,676,1,2,2,0,1,1,210,8,3,5,1,0,15,11,0,0
352,N. Zortea,Dif,FRO,97.90,5.60,-0.80,8,3,415,1,3,1,0,8,2,139,7,9,6,2,0,13,13,0,0
353,J. Cabal,Dif,VER,97.30,4.90,-0.60,12,7,674,0,7,1,0,9,0,223,7,12,8,3,0,15,15,2,0
355,A. Vogliacco,Dif,GEN,95.80,7.50,-1.00,12,6,565,0,2,0,0,2,0,192,3,6,0,3,0,24,10,0,0
356,Aaron Martin,Dif,GEN,95.40,9.10,-2.90,14,9,758,0,3,0,0,3,0,179,15,14,14,2,1,10,13,3,0
357,L. Gianetti,Dif,UDI,93.80,7.40,1.10,5,5,450,1,1,1,0,1,0,204,1,5,0,3,0,18,7,2,0
360,M. Wieteska,Dif,CAG,92.40,7.40,-1.60,11,8,709,0,2,0,0,1,1,274,5,11,4,3,1,22,9,1,0
362,A. Masina,Dif,TOR,90.30,7.40,-1.50,10,5,525,0,5,2,0,0,0,274,1,13,2,2,0,13,14,2,0
369,H. Hateboer,Dif,ATA,87.30,8.30,-2.30,13,5,566,0,6,2,0,3,1,205,14,7,2,3,0,6,6,1,0
377,R. Toloi,Dif,ATA,80.60,10.90,-3.20,10,4,444,0,1,0,0,1,0,217,1,10,2,2,1,7,6,3,0
378,K. Ehizibue,Dif,UDI,80.60,6.80,-1.80,13,3,398,0,10,3,0,6,1,77,2,4,8,2,0,11,7,1,0
379,P. Hatzidiakos,Dif,CAG,80.00,7.70,-1.90,10,10,643,0,4,2,0,1,0,239,1,5,4,1,0,13,18,1,0
381,Y. Mina,Dif,CAG,77.90,8.10,-1.70,9,5,451,0,1,0,0,1,0,216,0,7,9,2,0,7,7,1,0
382,M. Viti,Dif,SAS,76.60,7.50,-1.60,9,7,628,0,2,0,0,1,0,282,1,8,11,0,0,16,14,0,0
383,M. Bakker,Dif,ATA,74.50,11.70,-3.40,10,2,269,1,4,1,0,7,0,95,3,3,2,1,0,4,6,0,0
384,Z. Celik,Dif,ROM,73.30,8.00,-2.40,11,2,315,0,1,1,0,2,0,107,5,9,3,0,0,13,14,0,0
385,A. Obert,Dif,CAG,72.50,4.80,-1.30,11,6,575,0,1,1,0,1,0,238,4,10,2,1,0,18,10,1,0
390,R. Haps,Dif,GEN,67.40,5.90,-1.60,11,6,573,0,3,0,0,2,1,106,2,2,10,0,0,9,4,1,0
393,G. Pezzella,Dif,EMP,65.10,6.20,-1.80,9,4,353,0,2,2,0,4,0,180,2,2,5,1,0,8,12,0,0
398,A. Zanoli,Dif,SAL,62.30,6.70,-2.30,11,5,469,0,1,1,0,2,0,135,1,4,2,2,0,11,11,1,0
401,J. Cuadrado,Dif,INT,58.80,11.60,-2.90,7,0,149,0,4,0,0,0,2,77,6,2,6,1,0,3,3,0,0
404,C. Smalling,Dif,ROM,57.80,14.80,-3.50,6,4,362,0,1,1,0,0,0,185,1,1,2,0,0,5,1,0,0
405,S. Sazonov,Dif,TOR,57.40,6.60,-2.00,10,2,327,0,1,0,0,0,0,162,1,9,1,1,0,8,8,1,0
407,J. Simic,Dif,MIL,56.10,5.90,-0.20,4,0,143,1,2,1,0,1,0,59,0,2,0,0,0,1,1,1,0
408,J. Sambia,Dif,SAL,53.20,6.90,-2.10,9,4,452,0,4,2,0,1,0,152,5,4,5,0,0,7,5,0,0
416,A. Touba,Dif,LEC,46.80,6.60,-2.00,6,3,275,0,1,0,0,0,0,115,0,6,1,1,0,12,7,1,0
418,D. Spence,Dif,GEN,45.30,9.80,-0.20,4,3,237,0,1,1,0,4,0,52,0,3,1,0,0,5,3,1,0
420,Dodo,Dif,FIO,44.00,12.10,-3.00,5,4,268,0,1,1,0,2,0,132,6,2,3,0,0,5,3,0,0
423,T. Corazza,Dif,BOL,41.70,4.30,-1.80,6,1,144,0,1,0,0,0,0,59,0,1,2,1,0,7,8,1,0
424,Angelino,Dif,ROM,41.60,11.90,-0.60,5,5,324,0,1,0,0,1,0,126,5,7,0,1,0,3,2,1,0
428,N. Pierozzi,Dif,SAL,36.70,5.60,-2.00,5,4,324,0,2,0,0,0,0,96,1,11,3,2,0,11,4,1,0
430,M. Pellegrino,Dif,SAL,34.60,5.90,-2.00,6,4,457,0,3,1,0,1,0,207,1,3,1,1,0,5,2,0,0
432,E. Valeri,Dif,FRO,33.10,9.90,-0.50,5,4,373,0,4,0,0,7,0,89,8,6,2,1,0,11,8,0,0
434,A. Di Pardo,Dif,CAG,30.40,4.00,-0.60,11,0,226,0,3,0,0,0,0,61,3,2,0,0,0,5,3,0,0
436,J. Boateng,Dif,SAL,29.60,10.10,-0.50,4,3,173,0,0,0,0,0,0,80,1,2,0,0,0,2,0,1,0
438,D. Bartesaghi,Dif,MIL,28.30,4.00,-1.10,5,0,65,0,0,0,0,0,0,20,0,1,1,0,0,0,1,0,0
439,L. Venuti,Dif,LEC,26.60,4.60,-2.50,7,2,201,0,1,0,0,1,0,76,2,1,1,1,0,4,1,0,0
440,J. Palomino,Dif,ATA,26.10,7.20,-2.40,4,0,23,0,0,0,0,0,0,25,0,0,0,0,0,2,2,0,0
441,P. Kalulu,Dif,MIL,25.90,10.90,-3.20,4,1,108,0,0,0,0,0,0,48,0,1,2,0,0,1,4,0,0
442,T. Pasalidis,Dif,SAL,25.90,8.30,-0.40,4,3,271,0,0,0,0,0,0,83,1,5,1,1,0,3,3,1,0
448,K. Bonifazi,Dif,FRO,24.30,5.80,-2.30,3,2,181,0,0,0,0,0,0,119,0,3,2,0,0,3,7,0,0
449,A. Matturro,Dif,GEN,22.90,4.00,0.00,5,1,90,0,0,0,0,1,0,13,0,0,0,0,0,3,1,0,0
455,P. Comuzzo,Dif,FIO,19.70,4.40,-1.20,3,0,20,0,0,0,0,0,0,15,0,0,0,0,0,2,1,0,0
457,K. Manolas,Dif,SAL,18.90,9.30,-0.20,2,2,133,0,0,0,0,0,0,60,0,0,0,0,0,1,1,0,0
458,Ruben Vinagre,Dif,VER,17.80,9.70,-0.90,5,0,73,0,0,0,0,1,0,14,1,2,1,0,0,0,1,0,0
459,Alex Jimenez,Dif,MIL,17.80,5.00,-0.60,3,0,65,0,0,0,0,0,0,30,1,2,1,1,0,1,2,0,0
460,Mateus Lusuardi,Dif,FRO,17.70,5.30,-0.80,3,3,219,0,1,0,0,1,0,122,0,2,0,1,0,5,2,0,0
464,F. Missori,Dif,SAS,17.00,4.00,-1.60,4,0,99,0,2,1,0,0,0,31,1,0,1,0,0,4,2,0,0
469,T. Buchanan,Dif,INT,13.10,9.60,-0.70,2,0,27,0,0,0,0,1,0,12,0,1,0,0,0,0,0,0,0
472,D. Bronn,Dif,SAL,12.20,5.40,-2.70,4,0,49,0,1,0,0,0,0,8,0,0,2,0,0,0,0,0,0
473,F. Centonze,Dif,VER,12.10,7.70,-0.40,2,1,91,0,0,0,0,0,0,18,1,2,1,1,0,5,2,0,0
475,G. Donati,Dif,MON,11.30,4.00,-1.20,3,0,13,0,1,1,0,0,0,16,1,1,0,0,0,0,0,0,0
485,G. Cittadini,Dif,GEN,7.60,5.90,-2.60,2,0,15,0,0,0,0,0,0,5,0,1,1,1,0,1,1,0,0
489,E. Ebosse,Dif,UDI,6.40,4.50,-2.60,1,0,7,0,0,0,0,0,0,12,0,0,0,0,0,2,1,0,0
492,D. Bettella,Dif,MON,5.20,4.00,-0.60,1,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
494,M. Kumbulla,Dif,SAS,4.00,4.00,-2.60,1,0,13,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
498,A. Tikvic,Dif,UDI,3.50,4.00,-2.10,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
506,G. Bonfanti,Dif,ATA,1.60,5.50,-1.10,1,0,14,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0
507,M. Caldara,Dif,MIL,0,4.00,-1.60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
516,M. De Sciglio,Dif,JUV,0,4.00,-2.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
518,K. Dermaku,Dif,LEC,0.00,4.00,-1.10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
523,A. Soumaoro,Dif,BOL,0,5.50,-2.60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
526,W. Amey,Dif,BOL,0,4.00,-0.10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
527,D. Kamenovic,Dif,LAZ,0.00,4.00,-0.10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
530,J. Abankwah,Dif,UDI,0.00,4.40,-0.80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
536,S. Kalaj,Dif,FRO,0,4.00,-2.10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
543,M. Ilic,Dif,BOL,0.00,8.00,-0.60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
544,S. Goglichidze,Dif,EMP,0.00,5.30,-0.70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
545,Tiago Djalo,Dif,JUV,0.00,12.50,-0.50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
