#,Giocatore,Pos,Squadra,PTS,CR,Plus,Presenze,Titolare,Minuti,Falli,Falli subiti,Gialli,2 Gialli,Rossi,Errori Dec,Autogol,Intercetti,Rubati,Duelli Vinti,Duelli Persi,DA Vinti,DA Persi,Tackle
87,S. de Vrij,Dif,INT,311.20,13.50,0.50,20,13,1216,7,1,0,0,0,0,0,17,29,54,28,36,17,15
88,A. Cambiaso,Dif,JUV,311.20,11.00,1.50,23,17,1533,22,12,5,0,0,0,0,7,27,67,81,10,11,28
89,A. Marusic,Dif,LAZ,311.10,12.00,-1.00,27,27,2249,14,8,3,0,1,1,0,24,45,68,74,17,27,32
90,N. Milenkovic,Dif,FIO,310.40,13.30,-1.00,25,20,1891,23,20,3,0,1,0,0,18,34,137,59,80,24,36
91,M. Ruggeri,Dif,ATA,308.90,8.90,2.90,24,23,1932,16,8,3,0,0,0,0,19,29,74,75,33,26,19
96,S. Posch,Dif,BOL,306.50,13.80,-0.40,22,20,1647,26,5,7,0,0,0,0,13,46,90,89,22,20,57
98,D. Calabria,Dif,MIL,302.70,13.40,-1.20,23,20,1652,15,15,3,1,1,0,0,18,42,80,73,11,19,48
101,J. Vasquez,Dif,GEN,296.60,9.10,2.60,26,21,1878,23,27,4,0,0,0,0,33,60,116,87,40,43,42
103,V. Kristiansen,Dif,BOL,295.80,11.00,1.10,23,18,1594,23,4,3,0,0,0,0,9,28,60,56,16,11,30
105,C. Biraghi,Dif,FIO,295.10,13.20,-0.70,22,21,1821,38,13,6,0,0,0,0,13,37,62,77,7,9,38
107,Pablo Mari,Dif,MON,292.50,12.20,-0.30,23,19,1643,22,6,7,0,0,0,0,18,37,65,41,26,12,31
109,M. Kayode,Dif,FIO,289.00,9.00,3.10,18,15,1438,11,7,2,0,0,0,0,15,38,74,53,14,12,39
111,Diego Llorente,Dif,ROM,288.50,10.90,1.30,22,20,1633,17,16,4,0,0,0,0,16,33,79,57,36,30,27
112,Carlos Augusto,Dif,INT,288.10,13.50,-2.50,26,7,1045,11,4,1,0,0,0,0,9,22,66,42,34,16,18
119,A. Romagnoli,Dif,LAZ,281.90,14.70,-1.60,20,18,1689,23,10,5,0,0,0,0,17,29,74,60,48,36,19
121,M. Pongracic,Dif,LEC,280.90,9.80,0.80,25,25,2230,43,14,6,1,1,0,0,35,56,99,69,44,21,32
126,V. Gendrey,Dif,LEC,275.20,9.70,0.20,26,25,2208,18,28,5,0,0,0,0,29,51,108,77,34,27,39
129,D. Zappacosta,Dif,ATA,272.70,12.30,-1.20,23,16,1334,17,14,4,0,0,0,0,3,17,48,61,8,9,17
136,M. Bani,Dif,GEN,263.80,9.90,1.40,21,21,1775,14,23,8,0,0,1,0,15,24,80,58,38,33,19
140,A. Florenzi,Dif,MIL,260.00,8.40,1.60,24,13,1197,10,7,5,0,0,0,0,15,31,49,54,7,14,35
142,B. Pavard,Dif,INT,258.30,16.40,-1.10,15,13,1019,9,7,3,0,0,0,0,18,33,52,29,20,15,24
143,D. D'Ambrosio,Dif,MON,257.10,11.20,0.60,19,15,1361,15,13,3,1,1,0,0,11,41,91,52,23,17,51
144,J. Lucumi,Dif,BOL,256.30,10.80,0.80,18,12,1224,5,6,0,0,0,0,0,4,27,59,28,15,14,35
146,S. Romagnoli,Dif,FRO,256.10,8.30,0.90,23,20,1833,15,4,5,0,0,0,0,23,33,87,69,61,52,23
149,E. Ndicka,Dif,ROM,253.30,14.40,-1.00,17,17,1513,17,11,3,0,0,0,0,9,22,61,40,26,17,25
152,P. Dawidowicz,Dif,VER,248.00,9.30,0.50,21,19,1631,27,7,5,0,0,0,1,17,42,98,54,48,16,39
154,I. Monterisi,Dif,FRO,247.20,8.00,1.40,21,16,1446,10,17,1,0,0,0,0,8,20,85,57,41,28,23
159,Lazaro,Dif,TOR,241.20,9.30,0.70,24,19,1713,11,8,3,0,0,0,0,8,16,50,45,13,15,12
163,D. Bradaric,Dif,SAL,239.20,9.50,0.00,26,22,2046,11,18,5,0,0,0,0,25,46,78,65,18,23,29
165,R. Kristensen,Dif,ROM,238.50,9.70,-0.90,25,16,1480,14,6,5,0,0,0,1,5,18,70,64,28,19,29
167,S. Kjaer,Dif,MIL,236.80,11.20,0.50,16,13,1079,8,2,1,0,0,0,0,13,26,41,29,19,16,20
174,G. Magnani,Dif,VER,229.90,8.60,0.60,23,20,1764,21,17,4,0,0,0,0,32,42,69,50,28,19,19
178,M. Erlic,Dif,SAS,226.20,9.20,-0.30,23,22,1908,22,21,4,0,0,0,0,21,37,98,64,45,37,30
180,L. Ostigard,Dif,NAP,224.80,8.80,0.80,17,12,1054,8,8,3,0,0,0,0,12,21,55,28,30,16,18
183,C. Okoli,Dif,FRO,223.00,8.50,0.50,23,21,1945,15,15,6,0,0,0,0,20,39,99,61,52,36,33
185,F. Baschirotto,Dif,LEC,221.50,10.60,-2.50,26,26,2305,20,4,1,0,1,1,0,18,26,82,71,63,46,15
186,H. Kamara,Dif,UDI,221.30,7.90,-0.40,24,16,1347,14,4,3,0,0,0,0,17,36,59,59,9,8,25
187,A. Carboni,Dif,MON,220.90,8.60,1.10,17,12,1186,10,5,1,0,0,0,0,11,28,57,34,20,14,32
188,M. Lazzari,Dif,LAZ,219.70,11.30,-0.80,18,15,1305,7,12,2,0,1,0,0,11,25,46,34,6,11,21
191,G. Zappa,Dif,CAG,215.30,7.50,0.10,27,18,1895,17,11,2,0,0,0,0,17,38,66,67,15,22,34
195,L. Cacace,Dif,EMP,210.10,8.70,0.20,21,17,1587,23,16,5,0,0,0,0,14,32,82,90,13,21,33
197,A. Ismajli,Dif,EMP,208.10,8.70,0.20,21,18,1644,13,8,1,0,0,0,0,18,28,68,51,40,34,20
198,L. Ranieri,Dif,FIO,207.20,8.20,1.10,18,15,1347,25,8,11,0,0,0,0,21,26,41,58,26,28,5
199,F. Ebosele,Dif,UDI,206.80,7.90,-0.30,26,20,1595,27,41,4,1,1,0,0,7,26,127,119,13,15,31
201,J. Jesus,Dif,NAP,205.90,10.50,0.50,15,14,1307,19,6,5,0,0,0,0,9,21,63,57,33,32,24
205,M. Thiaw,Dif,MIL,202.40,13.80,-1.40,14,13,1116,18,6,3,0,1,0,0,11,25,56,49,24,18,18
206,S. Birindelli,Dif,MON,202.30,7.30,0.30,24,11,1151,16,19,5,0,0,0,0,13,25,49,43,6,6,18
207,L. Spinazzola,Dif,ROM,202.00,10.80,-1.30,18,13,1100,8,4,0,0,0,0,0,3,7,35,37,6,4,11
208,Joao Ferreira,Dif,UDI,201.40,6.10,1.30,24,14,1386,26,9,9,0,0,0,0,23,54,77,66,13,11,41
209,D. Rugani,Dif,JUV,200.70,9.10,1.10,13,9,842,10,3,2,0,0,0,0,6,10,29,24,20,13,6
210,G. Kyriakopoulos,Dif,MON,200.40,9.30,-0.90,20,15,1343,13,11,3,0,0,0,0,10,19,45,52,5,12,15
211,K. De Winter,Dif,GEN,200.40,8.00,1.00,19,16,1478,19,9,6,1,1,0,0,16,32,68,58,38,20,22
213,S. Sabelli,Dif,GEN,198.00,8.60,-0.40,23,22,1878,27,26,4,0,0,0,0,19,36,80,90,14,16,37
214,Mario Gila,Dif,LAZ,196.10,7.20,1.30,14,14,1201,13,19,2,1,1,0,0,12,20,64,55,23,33,19
216,A. Gallo,Dif,LEC,195.50,7.50,-0.50,24,19,1583,5,12,2,0,0,0,0,13,32,60,52,13,18,27
217,S. Walukiewicz,Dif,EMP,193.80,8.40,0.60,18,16,1414,14,5,5,0,0,0,0,12,31,65,50,28,29,27
222,E. Holm,Dif,ATA,191.30,11.80,-1.70,17,8,696,11,15,5,0,0,0,0,7,21,69,69,21,20,19
226,Patric,Dif,LAZ,188.50,7.80,1.20,13,13,1025,6,4,3,0,0,0,0,4,9,19,21,6,9,9
233,F. Terracciano,Dif,MIL,182.60,7.60,-0.50,19,14,1296,15,32,2,0,0,0,0,20,38,90,77,20,19,27
236,M. Olivera,Dif,NAP,182.20,11.30,-0.70,14,10,876,7,7,3,0,0,0,0,10,29,69,45,24,15,31
237,R. Karsdorp,Dif,ROM,181.90,9.80,-0.30,14,12,987,8,9,1,0,0,0,0,8,23,37,19,5,2,21
244,T. Kristensen,Dif,UDI,176.40,8.80,-0.30,17,15,1332,15,3,2,1,1,0,0,21,39,65,46,34,24,22
246,P. Mazzocchi,Dif,NAP,175.30,9.50,-2.50,24,19,1555,29,12,4,0,1,0,0,5,25,78,112,15,30,29
247,T. Augello,Dif,CAG,174.50,8.20,-1.60,22,18,1588,10,12,2,0,0,0,0,5,21,63,48,20,18,22
250,P. Dorgu,Dif,LEC,173.10,5.80,0.70,21,8,850,12,28,5,0,0,1,0,9,24,77,47,11,12,26
251,A. Oyono,Dif,FRO,172.90,9.10,-1.00,16,14,1197,13,11,4,0,0,0,0,9,35,73,56,13,9,37
257,J. Zemura,Dif,UDI,169.90,7.00,-0.10,20,10,937,14,13,1,0,0,0,0,13,29,56,51,8,11,23
258,G. Ferrari,Dif,SAS,169.50,8.30,-0.70,20,14,1278,17,16,3,0,0,0,0,15,21,48,38,18,22,12
260,J. Bijol,Dif,UDI,166.80,10.10,-1.00,13,13,1170,18,5,1,0,0,0,0,14,30,77,44,48,14,25
264,J. Toljan,Dif,SAS,164.40,8.50,-1.10,18,18,1615,6,6,1,0,0,0,0,9,16,28,37,6,12,10
268,N. Gyomber,Dif,SAL,160.70,7.10,-0.50,19,17,1530,28,15,9,0,0,0,0,22,40,82,55,30,23,35
269,Mario Rui,Dif,NAP,160.60,13.00,-3.00,16,11,921,14,19,5,0,0,0,0,11,22,52,43,9,18,21
270,F. Parisi,Dif,FIO,160.20,11.90,-2.70,15,11,999,9,30,3,0,0,0,0,12,21,76,38,11,11,20
274,M. Pedersen,Dif,SAS,157.10,8.50,-2.00,24,14,1394,10,8,4,0,0,0,0,9,27,55,41,7,15,30
276,M. Vojvoda,Dif,TOR,156.10,7.80,-1.30,18,8,784,8,2,1,0,0,0,0,8,12,14,27,3,6,5
277,L. De Silvestri,Dif,BOL,155.20,8.20,0.10,12,6,569,2,5,0,0,0,0,0,5,11,21,9,11,4,8
278,Y. Bisseck,Dif,INT,155.00,11.40,-0.60,10,5,476,2,9,0,0,0,0,0,0,3,27,22,9,13,7
279,C. Lykogiannis,Dif,BOL,154.40,6.40,-0.20,18,8,704,8,0,1,0,0,0,0,5,10,22,30,11,10,9
280,L. Pirola,Dif,SAL,154.10,8.90,-1.20,17,15,1208,18,10,2,0,0,0,0,11,23,67,55,34,23,23
281,M. Lovato,Dif,TOR,154.00,7.50,-0.60,18,15,1238,14,5,4,0,0,1,0,30,50,65,46,24,25,36
283,M. Gabbia,Dif,MIL,150.50,8.80,2.10,9,8,717,17,5,3,0,0,0,0,6,21,34,25,11,6,17
284,A. Izzo,Dif,MON,150.30,10.20,-0.90,12,9,729,17,12,5,0,0,0,0,12,22,34,33,8,9,14
296,D. Coppola,Dif,VER,141.20,5.60,0.50,14,9,825,16,3,7,0,0,0,0,13,29,69,47,40,22,26
297,Natan,Dif,NAP,140.20,13.00,-3.00,13,10,910,13,6,1,1,1,0,0,7,18,44,40,24,24,15
298,P. Schuurs,Dif,TOR,139.90,13.60,-1.50,9,9,771,8,1,2,0,0,0,0,11,23,39,28,15,9,21
301,J. Doig,Dif,SAS,138.70,8.80,-1.90,19,18,1433,13,11,4,0,0,0,0,8,27,63,59,13,10,28
304,L. Pellegrini,Dif,LAZ,133.70,7.60,-1.00,15,5,589,15,9,4,1,1,0,0,6,17,49,43,12,7,16
307,B. Bereszynski,Dif,EMP,131.70,7.20,-0.40,13,12,872,9,12,2,0,0,0,0,9,20,48,30,10,4,21
311,I. Hien,Dif,ATA,130.30,9.00,-1.60,16,9,956,11,3,2,0,1,1,0,9,24,65,59,37,27,22
312,R. Marchizza,Dif,FRO,129.80,6.50,-0.60,13,13,1149,6,3,1,0,0,0,0,7,13,22,34,9,12,7
314,Ruan Tressoldi,Dif,SAS,128.30,8.00,-2.10,21,13,1214,19,9,3,1,1,2,0,19,30,57,53,28,25,20
319,K. Djidji,Dif,TOR,126.50,8.90,-0.90,12,7,683,11,1,2,0,0,0,0,9,18,23,22,8,5,11
320,Paulo Azzi,Dif,CAG,126.00,5.70,-0.80,18,9,844,4,3,1,0,0,0,0,16,26,43,36,13,11,18
321,T. Ebuehi,Dif,EMP,124.30,8.30,-1.80,14,11,1073,7,9,0,0,0,0,0,6,16,34,38,8,17,14
328,A. Sandro,Dif,JUV,120.30,8.80,-1.20,12,6,532,14,10,1,0,0,0,0,9,13,29,25,8,7,8
329,Pedro Pereira,Dif,MON,119.50,5.10,0.00,17,8,661,8,3,3,0,0,0,0,4,11,22,29,3,5,12
331,C. Kabasele,Dif,UDI,117.80,6.90,-0.70,11,10,859,15,9,5,0,0,0,0,12,18,43,33,27,12,8
332,D. Faraoni,Dif,FIO,116.50,8.70,-2.40,15,10,892,13,14,5,0,0,0,0,11,27,50,45,10,14,22
334,N. Casale,Dif,LAZ,113.90,12.00,-3.10,12,9,944,11,3,1,0,0,0,0,4,7,26,35,14,17,8
337,F. Fazio,Dif,SAL,111.60,5.40,-0.20,11,9,832,5,5,3,0,1,0,0,8,16,47,25,31,14,11
338,E. Hysaj,Dif,LAZ,110.90,7.20,-1.60,14,7,709,9,4,2,0,0,0,0,10,19,34,38,11,8,18
339,D. Huijsen,Dif,ROM,110.40,5.70,-0.20,10,3,356,7,2,3,0,0,0,1,2,3,14,16,7,7,4
343,P. Lirola,Dif,FRO,105.70,7.60,-2.00,14,9,676,3,5,1,0,0,0,0,9,15,25,27,8,10,11
352,N. Zortea,Dif,FRO,97.90,5.60,-0.80,8,3,415,9,6,2,0,0,0,0,4,13,28,32,1,3,13
353,J. Cabal,Dif,VER,97.30,4.90,-0.60,12,7,674,12,8,3,0,0,1,0,5,15,60,36,28,11,15
355,A. Vogliacco,Dif,GEN,95.80,7.50,-1.00,12,6,565,6,0,3,0,0,0,0,18,24,28,15,16,5,10
356,Aaron Martin,Dif,GEN,95.40,9.10,-2.90,14,9,758,14,14,2,1,1,0,0,4,10,34,37,6,6,13
357,L. Gianetti,Dif,UDI,93.80,7.40,1.10,5,5,450,5,0,3,0,0,0,0,15,18,12,9,4,5,7
360,M. Wieteska,Dif,CAG,92.40,7.40,-1.60,11,8,709,11,4,3,1,1,0,0,14,22,32,28,18,8,9
362,A. Masina,Dif,TOR,90.30,7.40,-1.50,10,5,525,13,2,2,0,0,0,0,5,13,32,31,16,8,14
369,H. Hateboer,Dif,ATA,87.30,8.30,-2.30,13,5,566,7,2,3,0,0,0,0,2,6,17,18,6,5,6
377,R. Toloi,Dif,ATA,80.60,10.90,-3.20,10,4,444,10,2,2,1,1,0,0,5,7,18,19,9,5,6
378,K. Ehizibue,Dif,UDI,80.60,6.80,-1.80,13,3,398,4,8,2,0,0,0,0,5,11,24,20,3,4,7
379,P. Hatzidiakos,Dif,CAG,80.00,7.70,-1.90,10,10,643,5,4,1,0,0,1,0,6,13,28,21,5,6,18
381,Y. Mina,Dif,CAG,77.90,8.10,-1.70,9,5,451,7,9,2,0,0,0,0,2,7,30,14,13,6,7
382,M. Viti,Dif,SAS,76.60,7.50,-1.60,9,7,628,8,11,0,0,0,0,1,7,16,34,28,8,8,14
383,M. Bakker,Dif,ATA,74.50,11.70,-3.40,10,2,269,3,2,1,0,0,0,0,1,4,19,15,4,0,6
384,Z. Celik,Dif,ROM,73.30,8.00,-2.40,11,2,315,9,3,0,0,0,0,0,3,13,22,24,3,4,14
385,A. Obert,Dif,CAG,72.50,4.80,-1.30,11,6,575,10,2,1,0,0,0,0,13,18,24,29,11,11,10
390,R. Haps,Dif,GEN,67.40,5.90,-1.60,11,6,573,2,10,0,0,0,1,0,5,9,22,16,6,3,4
393,G. Pezzella,Dif,EMP,65.10,6.20,-1.80,9,4,353,2,5,1,0,0,0,0,0,8,26,18,5,3,12
398,A. Zanoli,Dif,SAL,62.30,6.70,-2.30,11,5,469,4,2,2,0,0,0,1,2,11,18,28,3,9,11
401,J. Cuadrado,Dif,INT,58.80,11.60,-2.90,7,0,149,2,6,1,0,0,0,0,0,3,9,6,0,0,3
404,C. Smalling,Dif,ROM,57.80,14.80,-3.50,6,4,362,1,2,0,0,0,0,0,4,5,22,11,20,5,1
405,S. Sazonov,Dif,TOR,57.40,6.60,-2.00,10,2,327,9,1,1,0,0,0,0,2,8,17,19,8,11,8
407,J. Simic,Dif,MIL,56.10,5.90,-0.20,4,0,143,2,0,0,0,0,0,0,0,1,4,4,2,2,1
408,J. Sambia,Dif,SAL,53.20,6.90,-2.10,9,4,452,4,5,0,0,0,0,0,5,7,27,23,16,8,5
416,A. Touba,Dif,LEC,46.80,6.60,-2.00,6,3,275,6,1,1,0,0,0,0,7,12,13,13,5,6,7
418,D. Spence,Dif,GEN,45.30,9.80,-0.20,4,3,237,3,1,0,0,0,0,0,3,5,10,12,2,3,3
420,Dodo,Dif,FIO,44.00,12.10,-3.00,5,4,268,2,3,0,0,0,0,0,3,5,9,8,2,0,3
423,T. Corazza,Dif,BOL,41.70,4.30,-1.80,6,1,144,1,2,1,0,0,0,0,4,7,10,8,0,1,8
424,Angelino,Dif,ROM,41.60,11.90,-0.60,5,5,324,7,0,1,0,0,0,1,2,3,6,11,3,2,2
428,N. Pierozzi,Dif,SAL,36.70,5.60,-2.00,5,4,324,11,3,2,0,0,0,0,7,11,14,15,7,1,4
430,M. Pellegrino,Dif,SAL,34.60,5.90,-2.00,6,4,457,3,1,1,0,0,0,0,4,5,11,25,7,15,2
432,E. Valeri,Dif,FRO,33.10,9.90,-0.50,5,4,373,6,2,1,0,0,0,0,4,11,21,20,4,3,8
434,A. Di Pardo,Dif,CAG,30.40,4.00,-0.60,11,0,226,2,0,0,0,0,0,0,4,5,5,13,2,2,3
436,J. Boateng,Dif,SAL,29.60,10.10,-0.50,4,3,173,2,0,0,0,0,0,0,2,2,7,5,7,3,0
438,D. Bartesaghi,Dif,MIL,28.30,4.00,-1.10,5,0,65,1,1,0,0,0,0,0,0,0,2,6,0,0,1
439,L. Venuti,Dif,LEC,26.60,4.60,-2.50,7,2,201,1,1,1,0,0,0,0,3,4,4,3,1,2,1
440,J. Palomino,Dif,ATA,26.10,7.20,-2.40,4,0,23,0,0,0,0,0,0,0,1,2,5,0,3,0,2
441,P. Kalulu,Dif,MIL,25.90,10.90,-3.20,4,1,108,1,2,0,0,0,0,0,1,1,9,4,3,2,4
442,T. Pasalidis,Dif,SAL,25.90,8.30,-0.40,4,3,271,5,1,1,0,0,0,0,1,3,8,13,4,7,3
448,K. Bonifazi,Dif,FRO,24.30,5.80,-2.30,3,2,181,3,2,0,0,0,0,0,1,3,10,9,1,3,7
449,A. Matturro,Dif,GEN,22.90,4.00,0.00,5,1,90,0,0,0,0,0,0,1,2,3,4,1,2,1,1
455,P. Comuzzo,Dif,FIO,19.70,4.40,-1.20,3,0,20,0,0,0,0,0,0,0,1,2,1,2,0,2,1
457,K. Manolas,Dif,SAL,18.90,9.30,-0.20,2,2,133,0,0,0,0,0,0,0,0,1,5,4,4,4,1
458,Ruben Vinagre,Dif,VER,17.80,9.70,-0.90,5,0,73,2,1,0,0,0,0,0,0,0,3,8,0,0,1
459,Alex Jimenez,Dif,MIL,17.80,5.00,-0.60,3,0,65,2,1,1,0,0,0,0,0,1,3,7,0,0,2
460,Mateus Lusuardi,Dif,FRO,17.70,5.30,-0.80,3,3,219,2,0,1,0,0,0,0,4,5,6,6,3,1,2
464,F. Missori,Dif,SAS,17.00,4.00,-1.60,4,0,99,0,1,0,0,0,0,0,2,4,4,2,1,0,2
469,T. Buchanan,Dif,INT,13.10,9.60,-0.70,2,0,27,1,0,0,0,0,0,0,0,0,1,3,0,1,0
472,D. Bronn,Dif,SAL,12.20,5.40,-2.70,4,0,49,0,2,0,0,0,0,0,0,0,6,4,4,3,0
473,F. Centonze,Dif,VER,12.10,7.70,-0.40,2,1,91,2,1,1,0,0,0,0,4,5,5,4,2,0,2
475,G. Donati,Dif,MON,11.30,4.00,-1.20,3,0,13,1,0,0,0,0,0,0,0,0,0,3,0,2,0
485,G. Cittadini,Dif,GEN,7.60,5.90,-2.60,2,0,15,1,1,1,0,0,0,0,0,1,3,1,1,0,1
489,E. Ebosse,Dif,UDI,6.40,4.50,-2.60,1,0,7,0,0,0,0,0,0,0,1,2,1,1,0,0,1
492,D. Bettella,Dif,MON,5.20,4.00,-0.60,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0
494,M. Kumbulla,Dif,SAS,4.00,4.00,-2.60,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
498,A. Tikvic,Dif,UDI,3.50,4.00,-2.10,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
506,G. Bonfanti,Dif,ATA,1.60,5.50,-1.10,1,0,14,0,1,0,0,0,0,0,0,0,1,1,0,1,0
507,M. Caldara,Dif,MIL,0,4.00,-1.60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
516,M. De Sciglio,Dif,JUV,0,4.00,-2.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
518,K. Dermaku,Dif,LEC,0.00,4.00,-1.10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
523,A. Soumaoro,Dif,BOL,0,5.50,-2.60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
526,W. Amey,Dif,BOL,0,4.00,-0.10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
527,D. Kamenovic,Dif,LAZ,0.00,4.00,-0.10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
530,J. Abankwah,Dif,UDI,0.00,4.40,-0.80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
536,S. Kalaj,Dif,FRO,0,4.00,-2.10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
543,M. Ilic,Dif,BOL,0.00,8.00,-0.60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
544,S. Goglichidze,Dif,EMP,0.00,5.30,-0.70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
545,Tiago Djalo,Dif,JUV,0.00,12.50,-0.50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
